postal_code,coordinates
46880-000,"(-12.528289683333332, -40.30356657777778)"
45260-000,"(-14.5285203, -40.3705063)"
44700-000,"(-11.177958225, -40.530001175)"
44790-000,"(-10.50750296, -40.32242926)"
44850-000,"(-11.548984633333333, -41.15838491111111)"
47300-000,"(44.3971192, 0.7108165)"
47350-000,"(-9.741178872727273, -41.88259322727273)"
46100-000,"(-14.19610725, -41.66373315)"
44900-000,"(-11.306958718181818, -41.8630232)"
46900-000,"(-12.430463183743841, -41.776162428571425)"
46140-000,"(-13.651323233548387, -41.84329578677419)"
47200-000,"(-9.6252782, -42.0856514)"
46400-000,"(-14.067201945748032, -42.4887968018504)"
46500-000,"(-13.05610965, -42.61769)"
47400-000,"(33.846519, -95.317855)"
46430-000,"(-14.228378862822721, -42.772449431153184)"
47240-000,"(30.62387295, 104.0779449438704)"
47600-000,"(-13.25893563888889, -43.43157040555556)"
47100-000,"(30.62387295, 104.0779449438704)"
47640-000,"(-13.392880734615384, -44.198391853846154)"
47820-000,"(-12.360963233333333, -44.9766169)"
47850-000,"(-12.164113057142856, -45.84375134285714)"
62800-000,"(-4.560707157894736, -37.75957869298246)"
62930-000,"(-5.14561994, -38.09302756666667)"
62840-000,"(-4.1744394, -38.134143275)"
62900-000,"(-4.940050688888888, -37.97712434444444)"
62850-000,"(-4.11138766, -38.23749383333333)"
61700-000,"(-3.937993101408451, -38.39608874084507)"
62940-000,"(-5.106279066666667, -38.36816686666667)"
61760-000,"(-3.854756956, -38.441991616)"
62880-000,"(-4.099683180434782, -38.493665552173916)"
62870-000,"(-4.167907933333334, -38.47087726666667)"
60810-670,"(-3.8091756200000004, -38.5423984)"
61880-000,"(-3.949988784848485, -38.52518829090909)"
60860-445,"(-3.784899328888889, -38.52942906888889)"
60010-450,"(-3.7217569784313724, -38.544134482352945)"
60762-000,"(52.400576083333334, 16.897544283333335)"
60714-222,"(-3.8147262, -38.5876182)"
60346-196,"(-3.7080012, -38.5902245)"
60540-256,"(-3.7873273631578943, -38.62284257894737)"
60526-670,"(-3.74870615, -38.5971677)"
60540-272,"(-3.7704095, -38.4741503)"
60440-000,"(49.13844943684211, 2.8248202421052633)"
60020-181,"(-3.743564425454546, -38.54152222181818)"
60511-080,"(-3.7505513200000005, -38.57969555333334)"
60730-190,"(49.28764865, 2.241959284383862)"
61800-000,"(-3.9150725, -38.612303675)"
60543-000,"(41.68727154960143, -88.33545200393306)"
60541-000,"(58.469859926041664, 26.839397240625)"
63210-000,"(44.0717478, 15.5242026)"
63430-000,"(-6.4019189, -38.85680553333333)"
62760-000,"(-4.350881533333333, -38.89899463333333)"
63260-000,"(-7.50411263, -38.95851429)"
63900-000,"(-4.968824816666666, -39.0173661)"
62680-000,"(-3.4753507375, -39.0465588)"
62670-000,"(-3.5394703878787874, -38.981038215151514)"
63200-000,"(34.480666, -94.896655)"
62640-000,"(-3.77820937368421, -39.23453455263158)"
62685-000,"(-3.435465914285714, -39.146727735714286)"
63500-000,"(-6.36054275, -39.29965375)"
63540-000,"(-6.757452361764705, -39.22740567647059)"
63180-000,"(-7.308150409523809, -39.3290849)"
63800-000,"(-5.216852433333334, -39.29965434)"
62690-000,"(-3.250078617647059, -39.2591373)"
62700-000,"(-4.371584947368421, -39.310592615789474)"
63560-000,"(-6.090995833333333, -39.45048833333333)"
