postal_code,coordinates
68560-000,"(-9.3379116, -50.3351236)"
68800-000,"(-1.6843043, -50.480227846666665)"
68485-000,"(-3.7644584, -50.50771155)"
68890-000,"(-0.15819083333333334, -50.38950563333333)"
68480-000,"(-1.9347317, -50.8254336)"
68365-000,"(14.89323195, 120.2257821)"
68385-000,"(-6.7473269, -51.1618154)"
68390-000,"(47.8028549, 7.4069256886976325)"
68300-000,"(-1.4059053, -51.64434645555556)"
68380-000,"(-6.64170735, -51.9782329)"
68330-000,"(47.6778145, 7.5217992)"
68145-000,"(42.6696554, -2.0293084)"
68140-000,"(-3.7036499333333337, -53.65359123333333)"
68230-000,"(-1.5263019, -52.5739521)"
68220-000,"(-2.005164425, -54.0718494)"
68138-000,"(42.6811063, -2.0272223)"
68015-000,"(57.69235507453704, 26.28417869398148)"
68025-000,"(48.1153996, 7.3558238)"
68200-000,"(30.62387295, 104.0779449438704)"
68165-000,"(-4.096303047368421, -54.909702768421056)"
68250-000,"(-1.9046070015384615, -55.51299134)"
68170-000,"(46.5289549, 17.1971965)"
68270-000,"(-1.7694783714285713, -55.86105211428572)"
50030-230,"(-8.05932216111111, -34.87888156111111)"
51020-000,"(-8.116893, -34.902070333333334)"
50050-290,"(-8.047352866666667, -34.891974633333334)"
53600-000,"(-7.8567547285714285, -34.909004585714285)"
51021-000,"(44.1260714, 10.6654225)"
51130-020,"(35.3209446, 136.9224827)"
51210-902,"(-8.1313707, -34.9185277)"
55900-000,"(-7.587137026428572, -34.974882928571425)"
54590-000,"(49.495941275, 5.862324675)"
54590-000,"(-8.309268840000001, -34.98539478)"
55590-000,"(-8.495171402857142, -35.01356013142857)"
55920-000,"(-7.405924325, -35.112750575)"
54800-000,"(-8.11755646875, -35.1131284375)"
55825-000,"(-7.90225634137931, -35.15143259655172)"
55580-000,"(-8.60665775925926, -35.10973631481481)"
55890-000,"(-7.6650455, -35.172795316666665)"
55560-000,"(-8.813364, -35.1971869)"
55500-000,"(-8.516545959090909, -35.41513803409091)"
55870-000,"(-7.5083467, -35.3156323)"
55520-000,"(-8.495381233333333, -35.36696985)"
55700-000,"(-7.882690859999999, -35.44522031)"
55550-000,"(-8.6876518, -35.52078)"
55720-000,"(-7.854429766666668, -35.588407466666666)"
55730-000,"(-7.80706023125, -35.5947842125)"
55540-000,"(-8.703009527272727, -35.59340353181818)"
55680-000,"(-8.4830571625, -35.7267276625)"
55400-000,"(45.4407666, 9.1705475)"
55750-000,"(-7.834513025, -35.754164775)"
55660-000,"(-8.231494025773197, -35.750329481443295)"
55125-000,"(-8.0064646125, -36.071259625)"
55130-000,"(-8.3260668, -36.1387077)"
55170-000,"(-8.1454644, -36.3708306)"
55385-000,"(-8.6620263, -36.3213213)"
55190-000,"(-7.9470827, -36.21296135)"
55370-000,"(30.62387295, 104.0779449438704)"
55290-000,"(-8.8819153, -36.4836485)"
55330-000,"(-9.1645301, -36.6869701)"
55200-000,"(-8.35790626590909, -36.69427518863636)"
55340-000,"(-9.132802416666667, -37.10885196666667)"
56520-000,"(-8.620200866666668, -37.1570707)"
56700-000,"(-7.4748380125, -37.2736779875)"
56600-000,"(30.62387295, 104.0779449438704)"
56800-000,"(-7.7513699201680675, -37.63596624957983)"
56640-000,"(-8.085984790909091, -37.638013245454545)"
56460-000,"(-8.9800775, -38.2186552)"
56400-000,"(-8.599804125, -38.5727714125)"
56000-000,"(-8.06967299090909, -39.12189347272727)"
56180-000,"(-8.51204525, -39.31175615)"
56380-000,"(-8.75585, -39.7965359)"
56220-000,"(-7.779535065384616, -39.935187269230774)"
56200-000,"(-7.88763379375, -40.0838999375)"
56260-000,"(-7.6493990400000005, -40.14639168)"
56280-000,"(-7.6142734, -40.480847860000004)"
64255-000,"(-4.427994009523809, -41.45547315714286)"
64600-000,"(-7.08189775, -41.430394625)"
64260-000,"(-4.281323913043478, -41.77747639565217)"
64280-000,"(-4.8316577, -42.17065451304348)"
64500-000,"(-7.014879653555556, -42.12573350466667)"
64180-000,"(-3.8660085, -42.3167444)"
64100-000,"(-4.245650875, -42.294430475)"
64290-000,"(-5.039349258333334, -42.46001998333333)"
64110-000,"(-4.756984475, -42.571850225)"
64770-000,"(-9.0169035375, -42.6931915375)"
64130-000,"(-4.1643450375, -42.8791623375)"
64120-000,"(-4.587871528571428, -42.859170185714284)"
64000-000,"(-5.44584136, -42.536222939999995)"
64800-000,"(58.0330408, 56.3058238)"
59164-000,"(-6.0694526, -35.15062165)"
59052-700,"(-5.81421045, -35.228952425)"
59149-090,"(44.5297094, 15.0769607)"
59148-902,"(44.7207225, 14.9713569)"
59071-000,"(51.68393645034695, 7.880936610608487)"
59140-971,"(-5.93773055, -35.27504265)"
59115-000,"(50.68078239117647, 3.2362813529411762)"
59162-000,"(50.4147092, 2.9338262)"
59290-000,"(-5.782402036842106, -35.31388411052632)"
59570-000,"(-5.639603791925466, -35.420508614285716)"
59280-000,"(-5.8863688454545455, -35.33119827272728)"
59584-000,"(-5.298171870921986, -35.48893470425532)"
59550-000,"(-5.53974294, -35.80619)"
59200-000,"(-6.228520725, -36.024231025)"
59380-000,"(-6.258146088888889, -36.52138502222222)"
59650-000,"(-5.575818770000001, -36.91661605)"
59300-000,"(-6.4616888928571425, -37.09296772142857)"
59700-000,"(-5.656318692727273, -37.80123677090909)"
95560-000,"(-29.328694587878786, -49.748257192929294)"
95555-000,"(-29.736634102777778, -50.00675423888889)"
95590-000,"(-30.011654264999997, -50.15364391)"
95520-000,"(-29.917001242105265, -50.267997921052626)"
95500-000,"(-29.83973815, -50.529603)"
95600-000,"(-29.64572467, -50.780557518)"
95680-000,"(-29.352370326666666, -50.817356493333335)"
95650-000,"(-29.57833203076923, -50.80029319230769)"
95630-000,"(-29.63382487368421, -50.83471545789474)"
95670-000,"(-29.3769927375, -50.87941801875)"
95200-000,"(-28.50276028, -50.93083946)"
93815-016,"(-29.6402661, -50.98484415)"
93700-000,"(48.92283888421053, 2.441937689473684)"
93700-000,"(-29.674119465217395, -51.05560129130435)"
93950-000,"(-29.586347226086957, -51.09091220869565)"
91160-000,"(48.796883449999996, 2.3282881068176864)"
91712-073,"(-3.910439, 119.738676)"
95047-500,"(59.826531, 5.722562)"
90160-091,"(-30.046445116666668, -51.21328166666667)"
90160-092,"(-30.0481441, -51.2127884)"
93600-000,"(-29.65357023333333, -51.175657683333334)"
92420-040,"(43.8676804, 7.6684569)"
90450-190,"(51.70313125, 19.413683844638552)"
93180-000,"(-29.69446991666667, -51.23456844166667)"
95180-000,"(-29.223954092000003, -51.344166052)"
92500-000,"(-30.115653939393937, -51.331206063636365)"
92990-000,"(-30.028209475, -51.39336888333333)"
95780-000,"(-29.68844435365854, -51.46054749512195)"
95700-000,"(-29.188053110714286, -51.539109571428575)"
96745-000,"(-29.960817294117646, -51.62640601764706)"
95720-000,"(-29.25324942380952, -51.52534735714286)"
96180-000,"(-30.847268152173914, -51.80786468913044)"
95880-000,"(-29.497220109195407, -51.961801196551725)"
96170-000,"(-31.366293083582093, -51.97872865298507)"
95800-000,"(-29.61679842352941, -52.17094856764706)"
99700-000,"(-27.639594872222222, -52.2718308)"
99150-000,"(-28.44873170833333, -52.20126155833333)"
99042-800,"(-28.2383616, -52.3702267)"
96050-500,"(-31.73615225, -52.3774546)"
96640-000,"(-29.97987206, -52.37219626)"
96600-000,"(-31.391949378098293, -52.68313844423077)"
99500-000,"(-28.297806640556903, -52.79415424794189)"
98280-000,"(-28.2965122, -53.50613392083333)"
98700-000,"(-28.398189429761903, -53.915607832142854)"
97300-000,"(-30.33290203778232, -54.32680046513229)"
96450-000,"(-30.97328853333333, -54.678349366666666)"
97700-000,"(-29.187526695, -54.869923125)"
97590-000,"(-30.26354614166667, -54.92925555)"
97670-000,"(-28.65894822285714, -56.00266573142858)"
97560-000,"(-30.38777241111111, -56.4518084962963)"
97650-000,"(-29.1304693, -56.5538118)"
97510-000,"(45.192306625, 34.040027225)"
28200-000,"(38.2156339825, 20.413382855000002)"
28230-000,"(-21.466960425510205, -41.08183847448979)"
28360-000,"(-21.13075726756757, -41.68280578243243)"
27970-020,"(-22.3460502, -41.791823)"
28400-000,"(-21.6446216375, -41.748173205)"
28300-000,"(-21.20728945, -41.88912749655172)"
28950-000,"(-22.755151848648648, -41.92635226216216)"
28908-000,"(50.184062221501016, 15.33997531825558)"
28920-000,"(36.4793952, 127.6987827)"
28940-000,"(34.340837, -94.569012)"
28860-000,"(-22.480779533333333, -42.109702033333335)"
28470-000,"(-21.58146973181818, -42.23849015)"
28970-000,"(-22.8673050125, -42.34837148333333)"
28990-000,"(-22.927351616666666, -42.44511796666667)"
28800-000,"(-22.713668068421054, -42.675477673684206)"
24890-000,"(-22.72611942857143, -42.7169465)"
28680-000,"(-22.4600286, -42.6601253)"
24900-000,"(-22.91867132857143, -42.83060545714286)"
24800-000,"(54.26075889166666, 9.529767121969696)"
25940-000,"(-22.5147382, -42.981943875)"
24425-285,"(50.3059768, 14.6012826)"
24320-330,"(49.3719057, -54.3137744)"
24220-000,"(58.297541, 25.8511593)"
24220-000,"(44.85043499019608, 1.0464706588235295)"
24230-030,"(-22.90859425, -43.1098502)"
21941-000,"(42.5891214, -2.0885974)"
20551-000,"(38.892183, -77.046515)"
20510-000,"(38.8944563, -77.0047249)"
22451-264,"(-22.986315, -43.24606716666667)"
22451-265,"(-22.98881325, -43.24870655)"
20560-000,"(51.22254054242424, 22.53053330909091)"
21061-000,"(59.43663991836735, 28.069617275510204)"
21012-350,"(-22.8293171, -43.28297)"
25213-005,"(-21.792378733333333, -43.50437326666667)"
25265-008,"(-22.69383115, -43.27652315)"
20766-000,"(40.7167835, -74.0500562)"
21072-000,"(59.439725410401465, 28.06414542992701)"
25850-000,"(-22.208416533333335, -43.240455)"
25040-004,"(-22.7491982, -43.2999451)"
20765-630,"(-22.8190054, -43.356858)"
22753-000,"(42.5573567, -0.78618755)"
22750-008,"(-22.9400514, -43.3381478)"
22765-000,"(53.55429334099963, 9.93326348387824)"
25555-000,"(42.3961107, 0.887443)"
22640-100,"(-22.9908759, -43.29516233333333)"
22783-116,"(45.4673875, 9.2300432)"
22790-000,"(42.75607012222222, -0.7540715333333333)"
22790-701,"(-23.01300498888889, -43.47497068888889)"
22795-000,"(31.55238378819444, -116.65672009375)"
21810-007,"(50.3491043, 12.6171018)"
21831-000,"(32.499748824444445, -116.75816017333334)"
27700-000,"(-22.4098276, -43.67034726666667)"
23890-000,"(45.7437273, 9.3799522)"
26600-000,"(-22.617138666666666, -43.70732746666667)"
27600-000,"(-22.24207122857143, -43.69942452857143)"
23860-000,"(-22.9611153, -44.0216415)"
27580-000,"(-22.432905, -44.57941498333333)"
23970-000,"(-23.21004093103448, -44.71500971034483)"
76980-000,"(-12.730497912068966, -60.14053285344827)"
76970-000,"(-11.67811152, -61.18304084)"
76940-000,"(-11.7202112, -61.7032288)"
76868-000,"(-9.4221822, -61.9867681)"
76920-000,"(-10.725068757142857, -62.25941621428572)"
76864-000,"(14.91340915, 120.22877154967964)"
76890-000,"(-10.451985175, -62.4593457)"
76800-000,"(-8.7652378, -63.9098226)"
76804-000,"(59.332637737, 24.108692628)"
76880-000,"(14.89725315, 120.22827138985596)"
76850-000,"(42.0186126, -1.486452)"
69318-000,"(54.441739029999994, 23.25401343)"
69303-000,"(58.09399312195122, 25.17906152398374)"
88010-400,"(-27.594652928571428, -48.54907844285714)"
88220-000,"(-27.10887829859155, -48.61285632042254)"
88333-000,"(42.5553353, -1.8518184)"
89240-000,"(-26.219222774242425, -48.586083719696965)"
88200-000,"(-27.2425473, -48.64231366470588)"
88780-000,"(-28.196371426785714, -48.68600449107143)"
88160-000,"(-27.47516018113208, -48.68970959811321)"
88340-000,"(-27.09379705, -48.65369333)"
88375-000,"(-26.855349225, -48.6558497625)"
89245-000,"(-26.425236245238096, -48.75616017857143)"
88790-000,"(-28.482172733333332, -48.772411356666666)"
88240-000,"(-27.29993948076923, -48.84851941153846)"
89270-000,"(-26.47720769456522, -48.99309767826087)"
89107-000,"(-26.735836433333333, -49.1662682469697)"
89130-000,"(-26.894468596428574, -49.22870374642857)"
89120-000,"(-26.83100593888889, -49.269422444444444)"
88820-000,"(-28.71230260952381, -49.30763580952381)"
88900-000,"(-28.93081026413793, -49.481831311724136)"
89295-000,"(-26.32744638181818, -49.535205363636365)"
89300-000,"(-26.107987657142857, -49.85195842857143)"
89460-000,"(-26.14807566153846, -50.39082627692308)"
89520-000,"(-27.28594225714286, -50.55196182857143)"
89400-000,"(-26.36747891111111, -51.341602888888886)"
89560-000,"(-27.002178651666664, -51.16166575833333)"
89620-000,"(-27.40033834571428, -51.22321078)"
89700-000,"(-27.229578435294115, -52.018790514705884)"
89820-000,"(-26.87378391913681, -52.4110947247557)"
89900-000,"(-26.73525314, -53.51883181)"
49700-000,"(30.62387295, 104.0779449438704)"
49095-000,"(-10.929677457142857, -37.08315452857143)"
49087-000,"(48.522489925475284, 35.060959588212924)"
49160-000,"(-10.861734508653846, -37.09943773846154)"
49100-000,"(-10.961657885714285, -37.176167310714284)"
49120-000,"(-11.00987115, -37.31859265)"
49200-000,"(-11.269470971428571, -37.428595692857144)"
49500-000,"(-11.12284698125, -37.5739685375)"
49680-000,"(-10.215852459999999, -37.42140013)"
49400-000,"(-10.917898814102564, -37.6677521)"
49810-000,"(-9.712556091304348, -37.66474302608696)"
49290-000,"(36.771746, -81.299843)"
49480-000,"(-10.7364309, -37.79715248)"
49300-000,"(-11.1809764, -38.0050058)"
11680-000,"(-23.442806322580644, -45.08506864451613)"
12570-000,"(-22.8441082265625, -45.229209834375)"
12460-000,"(-22.735225467088608, -45.58898608607595)"
12120-000,"(44.23151888888889, 2.488120897222222)"
11600-000,"(-23.77310617666667, -45.55269189)"
12247-004,"(-23.1572461, -45.7915007)"
12230-002,"(-23.2245068, -45.9077113)"
12246-000,"(42.6458650875, -73.7506065625)"
12213-000,"(24.700012366666666, 46.68071103333333)"
11250-000,"(-23.819749778260867, -46.089304578260865)"
07500-000,"(-23.309604692857143, -46.236907071428575)"
11432-501,"(49.7461017, 14.4758482)"
11460-004,"(-6.14743925, 106.7728969985375)"
11030-000,"(53.6952528, -6.9916071357843235)"
07432-575,"(-23.3945783, -46.3267104)"
09450-000,"(-23.7428006125, -46.3991877625)"
08460-000,"(-23.5461207, -46.403110975)"
11350-000,"(40.319176650014604, -89.70894914659365)"
9340,"(50.966100954700856, 3.945333557051282)"
08285-060,"(-23.552704833333333, -46.47056893333333)"
11717-260,"(60.7517833, 25.1230702)"
11702-200,"(-24.0059406, -46.4274353)"
11707-520,"(60.5539284, 25.2783629)"
13960-000,"(-22.592637811607144, -46.52804322946429)"
07600-000,"(-23.320936665762712, -46.58661107661017)"
09560-000,"(-23.6322785, -46.55677475)"
02220-000,"(-23.493575530612244, -46.58319215408163)"
09581-680,"(-23.633327, -46.5830522)"
09925-000,"(-23.6700161, -46.6185857)"
4849,"(48.046624097989955, 13.575597856281405)"
11730-000,"(-24.10923943846154, -46.659722069230774)"
07700-000,"(-23.372394075, -46.725245125)"
02675-031,"(-23.493941075, -46.75062385)"
05577-200,"(-23.5880713, -46.7511938)"
04941-175,"(33.9807401, -118.162731)"
13990-000,"(-22.1968897, -46.7571283)"
06810-240,"(-23.646875, -46.8138852)"
06900-000,"(-23.79200652878788, -46.80452146515151)"
11740-000,"(-24.178247023636366, -46.79590730545455)"
13219-000,"(37.433953, 127.1701632)"
07750-000,"(-23.356288116666665, -46.8666296)"
13720-000,"(-21.5951133625, -46.8945266625)"
13920-000,"(-22.744293, -46.90336745)"
13880-000,"(-21.8344582875, -46.8994298975)"
13209-000,"(43.07822471117755, -76.23921397166583)"
6717,"(49.743105694643944, 5.7655646107121115)"
13290-000,"(-23.087698165625, -46.96342205)"
6700,"(-34.57364540957055, -59.10850946196319)"
13213-000,"(54.541526854, 25.290023314)"
13280-000,"(-23.029846955, -46.985039495)"
13274-465,"(-22.973136175, -47.002840255)"
11750-000,"(-24.300318371875, -46.9946469875)"
13820-000,"(-22.70109778666667, -46.98362773555555)"
06730-000,"(-23.615588295604397, -47.01228698791209)"
13860-000,"(-22.057197317391303, -46.978597317391305)"
13295-000,"(-23.15340905925926, -47.05920402222222)"
13315-000,"(-23.30180418, -47.110727393333335)"
13050-000,"(29.3701365, 47.9923702)"
13061-155,"(53.5680635, -7.187464352348302)"
13060-000,"(45.60527962933334, 8.287505974)"
13033-000,"(12.1129034, -86.2885812)"
13054-000,"(12.1086829, -86.2870055)"
13160-000,"(-22.581268, -47.1602291)"
13056-000,"(42.673363, -76.072759)"
13140-000,"(-22.766398225, -47.149168116666665)"
13059-000,"(52.577162836209745, 13.520206830429396)"
13150-000,"(-22.7010256, -47.1918445)"
13181-513,"(61.8765891, 22.0755662)"
13178-000,"(54.6087582, 25.5186216)"
13187-000,"(52.569306458316014, 13.408755876680527)"
13183-091,"(60.1674881, 24.9427473)"
18150-000,"(-23.676403580000002, -47.213023414999995)"
18120-000,"(-23.52295918, -47.20309762)"
13188-000,"(42.8699917, -76.0276663)"
13345-000,"(37.43942066666667, 127.143135925)"
13650-000,"(-21.818998533333335, -47.23643863333333)"
13460-000,"(-22.764866465, -47.2444760125)"
13190-000,"(-22.9144886, -47.24593535)"
13487-000,"(37.40116235625, 127.10290549375)"
14402-000,"(37.53296302702703, 126.78566221891892)"
13485-000,"(37.38753114, 127.08811894000002)"
13454-000,"(43.15844112083333, -74.75784352886905)"
14404-000,"(37.8755044, -4.79709575)"
14400-000,"(22.86415985, -83.04662295)"
13481-000,"(37.3900306, 127.0963276)"
13480-000,"(43.46213499840183, 5.354468710730593)"
14407-000,"(54.0807348077193, 19.916112259415204)"
18170-000,"(-23.719880188235294, -47.410357705882355)"
13483-000,"(37.3872062, 127.09139456666668)"
13660-000,"(-21.8618594, -47.48276275)"
18077-000,"(40.575255039285715, -75.22606860357142)"
13360-000,"(-22.9858334, -47.5107032)"
18074-000,"(40.308533193548385, -75.49847922258064)"
18540-000,"(-23.216790683333333, -47.51569236666667)"
13505-000,"(52.58229517332751, 13.228037034455618)"
14300-000,"(-20.897295457142857, -47.616292085714285)"
18160-000,"(-23.644037714285712, -47.57378816666667)"
13504-000,"(37.41147117799443, 127.13601670891366)"
13390-000,"(-22.8171096, -47.6360426)"
14150-000,"(-21.20792854814815, -47.602784774074074)"
18560-000,"(-23.374131116666664, -47.64741886666667)"
18190-000,"(-23.511354108510638, -47.621578459574465)"
13401-000,"(50.022677025, 29.02460645)"
18550-000,"(-23.28304401111111, -47.67620301296296)"
18530-000,"(-23.09565855185185, -47.71874935925926)"
14140-000,"(-21.337677430000003, -47.73263115)"
18520-000,"(-23.16860537272727, -47.74694798181818)"
14080-000,"(37.9700948, -4.8113285)"
14500-000,"(-20.335367569565218, -47.78831609565218)"
14060-000,"(34.2423611, -6.532445533333334)"
11900-000,"(-24.490435565957448, -47.84965413829787)"
14050-000,"(19.294302814285714, -99.16141671428572)"
14680-000,"(-21.021358525, -47.767136575)"
14030-680,"(40.49633527660109, -111.87261353560518)"
14031-000,"(45.00064453333333, 8.282742191666667)"
14620-000,"(-20.712367854285713, -47.88357773642857)"
13520-000,"(-22.552593573913043, -47.900897682608694)"
14600-000,"(-20.58719148409091, -47.865716718181815)"
14815-000,"(-21.9850428, -47.99884055)"
14820-000,"(-21.728039875, -48.09482645)"
14180-000,"(-21.028303873333332, -48.051728626666666)"
14807-000,"(42.415335250918794, -77.69352583177238)"
14840-000,"(-21.354289066666666, -48.22609396666667)"
14750-000,"(61.044073, 27.7756275)"
14790-000,"(-20.324729983333334, -48.31486523333333)"
15910-000,"(-21.261222890322582, -48.48883670322581)"
15900-000,"(-21.4048962, -48.5022148)"
18650-000,"(-22.74207006, -48.570411480000004)"
17340-000,"(-22.48947872777778, -48.55965415)"
14781-000,"(37.47649025, 126.81500485)"
17250-000,"(-22.07108065, -48.73391335)"
14900-000,"(-21.595593266666665, -48.81625786666667)"
14940-000,"(-21.75598825, -48.83393401428572)"
17280-000,"(-22.34744954642857, -48.780671285714284)"
18400-000,"(-24.009837342857143, -48.872018485714285)"
15400-000,"(-20.7469239, -48.918210275)"
15800-000,"(-21.1131874, -48.9968888)"
17120-000,"(-22.40004175, -49.026243)"
14960-000,"(-21.4667985, -49.2220377)"
18460-000,"(39.65205475130446, -88.12921070716203)"
15047-000,"(59.4329344, 24.73787355)"
15130-000,"(-20.8177195125, -49.5112415275)"
18900-000,"(-22.889762066666666, -49.61737593333333)"
17400-000,"(-22.21442704375, -49.66431745625)"
15200-000,"(-21.0525825, -49.69009445)"
16370-000,"(-21.542027733333335, -49.8560389)"
16300-000,"(-21.415913141666664, -50.07895905833333)"
15600-000,"(-20.28180643611111, -50.24947028333333)"
19700-000,"(-22.42002714516129, -50.57911689677419)"
17900-000,"(-21.48156006984127, -51.53919036904762)"
19400-000,"(-21.820030475, -51.8482330625)"
19470-000,"(-21.771299130769233, -52.112731207692306)"
77950-000,"(-5.650066035887097, -48.11321297782258)"
77500-000,"(-10.708940345714286, -48.406658397142856)"
77760-000,"(-8.057193843700787, -48.471918973622046)"
77600-000,"(-10.180223938805971, -48.88695094776119)"
